sido,sido,sigungu,year,price_median,price_avg,parcels
제주특별자치도,제주특별자치도,,2026,69198,188770,582703
충청남도,충청남도,,1990,4500,19124,2325942
충청남도,충청남도,,1991,4500,20892,2402490
충청남도,충청남도,,1992,4526,23241,2414505
충청남도,충청남도,,1993,4391,23311,2432603
충청남도,충청남도,,1994,4084,22672,2473730
충청남도,충청남도,,1995,4130,22817,2505088
충청남도,충청남도,,1996,4104,23099,2519139
충청남도,충청남도,,1997,4203,23815,2564222
충청남도,충청남도,,1998,4416,24482,2555433
충청남도,충청남도,,1999,4386,23267,2544261
충청남도,충청남도,,2000,4703,23548,2552715
충청남도,충청남도,,2001,4994,23897,2552289
충청남도,충청남도,,2002,5033,24038,2551226
충청남도,충청남도,,2003,5179,25241,2571378
충청남도,충청남도,,2004,6198,30327,2597666
충청남도,충청남도,,2005,8511,37690,2623209
충청남도,충청남도,,2006,11104,42563,2647608
충청남도,충청남도,,2007,12357,45215,3010179
충청남도,충청남도,,2008,12868,46960,3050989
충청남도,충청남도,,2009,12798,46558,3070946
충청남도,충청남도,,2010,12810,46688,3146493
충청남도,충청남도,,2011,13147,47866,3163461
충청남도,충청남도,,2012,14074,50203,3193598
충청남도,충청남도,,2013,14052,49588,3361257
충청남도,충청남도,,2014,14714,51085,3389388
충청남도,충청남도,,2015,15346,52485,3411872
충청남도,충청남도,,2016,15872,53960,3442310
충청남도,충청남도,,2017,16562,55512,3494857
충청남도,충청남도,,2018,17382,57322,3518410
충청남도,충청남도,,2019,17911,58793,3572463
충청남도,충청남도,,2020,18344,60175,3601904
충청남도,충청남도,,2021,19675,63958,3649102
충청남도,충청남도,,2022,21014,68691,3678185
충청남도,충청남도,,2023,19556,64157,3697262
충청남도,충청남도,,2024,19604,64381,3722427
충청남도,충청남도,,2025,19821,65210,3738795
충청남도,충청남도,,2026,19975,66098,3755907
충청북도,충청북도,,1990,3767,24623,1406773
충청북도,충청북도,,1991,3904,27618,1446883
충청북도,충청북도,,1992,4143,33388,1447191
충청북도,충청북도,,1993,4030,34287,1445891
충청북도,충청북도,,1994,3915,33773,1459568
충청북도,충청북도,,1995,4032,34058,1502041
충청북도,충청북도,,1996,4115,34615,1522198
충청북도,충청북도,,1997,4290,35872,1546443
충청북도,충청북도,,1998,4573,36886,1558682
충청북도,충청북도,,1999,4465,35237,1544447
충청북도,충청북도,,2000,4779,36128,1533873
충청북도,충청북도,,2001,4946,36360,1540294
충청북도,충청북도,,2002,4982,37116,1541637
충청북도,충청북도,,2003,5016,37383,1553717
충청북도,충청북도,,2004,5939,40692,1566239
충청북도,충청북도,,2005,7886,44593,1587937
충청북도,충청북도,,2006,9064,43963,1502422
충청북도,충청북도,,2007,10271,49908,1687412
충청북도,충청북도,,2008,10215,48657,1798340
충청북도,충청북도,,2009,10094,47995,1822505
충청북도,충청북도,,2010,10007,47474,1883814
충청북도,충청북도,,2011,10111,46663,1982453
충청북도,충청북도,,2012,10500,47054,2076126
충청북도,충청북도,,2013,11044,47963,2116038
충청북도,충청북도,,2014,11905,49958,2131887
충청북도,충청북도,,2015,12783,51874,2148694
충청북도,충청북도,,2016,13597,54056,2176740
충청북도,충청북도,,2017,14562,55920,2204055
충청북도,충청북도,,2018,15420,57852,2238550
충청북도,충청북도,,2019,16263,60098,2265749
충청북도,충청북도,,2020,16727,61260,2324176
충청북도,충청북도,,2021,18150,66012,2340324
충청북도,충청북도,,2022,19662,71051,2359172
충청북도,충청북도,,2023,18346,66483,2373162
충청북도,충청북도,,2024,18388,66379,2381865
충청북도,충청북도,,2025,18626,67319,2391574
충청북도,충청북도,,2026,18872,68343,2402654
